rt,url,experiment_phase,refresh_count,trial_type,trial_index,time_elapsed,experiment_name,assignmentId,hitId,workerId,turkSubmitTo,previewMode,outsideTurk,platform,start_time,condition,end_time,total_time,ip_address,version_date,anon_id,debug_mode,completion_code,seed,redirect_url,worker_info,browser_events,success,screen_width,screen_height,window_width,window_height,form_name,form_id,instructions_viewed_count,view_history,stimulus,key_press,key_name,response_label,stimulus_number,attention_check_on,attention_check_passed,image_shown_count,repeat,responses,form_data,sona_id
23030.0,src/html/consent.html,consent,1,render-mustache-template,0,23159,judging_faces,,,,,False,True,turk,2025-03-25T16:08:58Z,gad,2025-03-25T16:22:00Z,779714,"""100.64.0.2""",2025-03-11,b7rgecm91q5gwpo,False,2785118609-exa-1898957330-mple,1742918938773,https://uiuc.sona-systems.com/webstudy_credit.aspxexperiment_id=&credit_token=&survey_code=,"{'assignmentId': '', 'hitId': '', 'workerId': '', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': True, 'platform': 'turk'}","[{'event': 'blur', 'time': 6354}, {'event': 'focus', 'time': 6519}, {'event': 'blur', 'time': 13698}, {'event': 'focus', 'time': 13870}]",,,,,,,,,,,,,,,,,,,,,
,,,1,fullscreen,1,33063,judging_faces,,,,,False,True,turk,2025-03-25T16:08:58Z,gad,2025-03-25T16:22:00Z,779714,"""100.64.0.2""",2025-03-11,b7rgecm91q5gwpo,False,2785118609-exa-1898957330-mple,1742918938773,https://uiuc.sona-systems.com/webstudy_credit.aspxexperiment_id=&credit_token=&survey_code=,"{'assignmentId': '', 'hitId': '', 'workerId': '', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': True, 'platform': 'turk'}","[{'event': 'fullscreenenter', 'time': 32991}]",True,1440.0,900.0,1440.0,900.0,,,,,,,,,,,,,,,,
39307.0,src/html/attrition.html,attrition,1,render-mustache-template,2,72713,judging_faces,,,,,False,True,turk,2025-03-25T16:08:58Z,gad,2025-03-25T16:22:00Z,779714,"""100.64.0.2""",2025-03-11,b7rgecm91q5gwpo,False,2785118609-exa-1898957330-mple,1742918938773,https://uiuc.sona-systems.com/webstudy_credit.aspxexperiment_id=&credit_token=&survey_code=,"{'assignmentId': '', 'hitId': '', 'workerId': '', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': True, 'platform': 'turk'}",[],,,,,,attritionForm,#attritionForm,0.0,,,,,,,,,,,,,
54126.09999990463,,,1,instructions,3,126945,judging_faces,,,,,False,True,turk,2025-03-25T16:08:58Z,gad,2025-03-25T16:22:00Z,779714,"""100.64.0.2""",2025-03-11,b7rgecm91q5gwpo,False,2785118609-exa-1898957330-mple,1742918938773,https://uiuc.sona-systems.com/webstudy_credit.aspxexperiment_id=&credit_token=&survey_code=,"{'assignmentId': '', 'hitId': '', 'workerId': '', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': True, 'platform': 'turk'}",[],,,,,,,,,"[{'page_index': 0, 'viewing_time': 14274.700000047684}, {'page_index': 1, 'viewing_time': 8386}, {'page_index': 2, 'viewing_time': 18380.89999985695}, {'page_index': 3, 'viewing_time': 4283.400000095367}, {'page_index': 4, 'viewing_time': 3286.2999999523163}, {'page_index': 5, 'viewing_time': 5513.900000095367}]",,,,,,,,,,,,
3694.2000000476837,,main,1,single-stim-rev-cor-trial,4,130745,judging_faces,,,,,False,True,turk,2025-03-25T16:08:58Z,gad,2025-03-25T16:22:00Z,779714,"""100.64.0.2""",2025-03-11,b7rgecm91q5gwpo,False,2785118609-exa-1898957330-mple,1742918938773,https://uiuc.sona-systems.com/webstudy_credit.aspxexperiment_id=&credit_token=&survey_code=,"{'assignmentId': '', 'hitId': '', 'workerId': '', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': True, 'platform': 'turk'}",[],,,,,,,,,,src/images/main/266.jpg,74.0,j,no GAD,266.0,False,False,1.0,False,,,
2178.300000190735,,main,1,single-stim-rev-cor-trial,5,132925,judging_faces,,,,,False,True,turk,2025-03-25T16:08:58Z,gad,2025-03-25T16:22:00Z,779714,"""100.64.0.2""",2025-03-11,b7rgecm91q5gwpo,False,2785118609-exa-1898957330-mple,1742918938773,https://uiuc.sona-systems.com/webstudy_credit.aspxexperiment_id=&credit_token=&survey_code=,"{'assignmentId': '', 'hitId': '', 'workerId': '', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': True, 'platform': 'turk'}",[],,,,,,,,,,src/images/main/7.jpg,70.0,f,GAD,7.0,False,True,1.0,False,,,
1696.3000001907349,,main,1,single-stim-rev-cor-trial,6,134623,judging_faces,,,,,False,True,turk,2025-03-25T16:08:58Z,gad,2025-03-25T16:22:00Z,779714,"""100.64.0.2""",2025-03-11,b7rgecm91q5gwpo,False,2785118609-exa-1898957330-mple,1742918938773,https://uiuc.sona-systems.com/webstudy_credit.aspxexperiment_id=&credit_token=&survey_code=,"{'assignmentId': '', 'hitId': '', 'workerId': '', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': True, 'platform': 'turk'}",[],,,,,,,,,,src/images/main/286.jpg,74.0,j,no GAD,286.0,False,False,1.0,False,,,
2359.7000000476837,,main,1,single-stim-rev-cor-trial,7,136985,judging_faces,,,,,False,True,turk,2025-03-25T16:08:58Z,gad,2025-03-25T16:22:00Z,779714,"""100.64.0.2""",2025-03-11,b7rgecm91q5gwpo,False,2785118609-exa-1898957330-mple,1742918938773,https://uiuc.sona-systems.com/webstudy_credit.aspxexperiment_id=&credit_token=&survey_code=,"{'assignmentId': '', 'hitId': '', 'workerId': '', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': True, 'platform': 'turk'}",[],,,,,,,,,,src/images/main/55.jpg,74.0,j,no GAD,55.0,False,False,1.0,False,,,
1263.7000000476837,,main,1,single-stim-rev-cor-trial,8,138250,judging_faces,,,,,False,True,turk,2025-03-25T16:08:58Z,gad,2025-03-25T16:22:00Z,779714,"""100.64.0.2""",2025-03-11,b7rgecm91q5gwpo,False,2785118609-exa-1898957330-mple,1742918938773,https://uiuc.sona-systems.com/webstudy_credit.aspxexperiment_id=&credit_token=&survey_code=,"{'assignmentId': '', 'hitId': '', 'workerId': '', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': True, 'platform': 'turk'}",[],,,,,,,,,,src/images/main/116.jpg,74.0,j,no GAD,116.0,False,False,1.0,False,,,
1623.7000000476837,,main,1,single-stim-rev-cor-trial,9,139876,judging_faces,,,,,False,True,turk,2025-03-25T16:08:58Z,gad,2025-03-25T16:22:00Z,779714,"""100.64.0.2""",2025-03-11,b7rgecm91q5gwpo,False,2785118609-exa-1898957330-mple,1742918938773,https://uiuc.sona-systems.com/webstudy_credit.aspxexperiment_id=&credit_token=&survey_code=,"{'assignmentId': '', 'hitId': '', 'workerId': '', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': True, 'platform': 'turk'}",[],,,,,,,,,,src/images/main/295.jpg,74.0,j,no GAD,295.0,False,False,1.0,False,,,
